User ID,Session ID,Timestamp,Component,Interaction Type,Interaction Duration,Total Screentime,Time to Add to Cart,Initial Order,Interaction Sequence
1,1,2024-07-19 22:34:06,Image Gallery,Scroll,3s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:34:09,Title,View,3s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:34:12,Description,View,13s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:34:25,Discount Badge,Scroll,20s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:34:45,Price,View,7s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:34:52,Recommended Products,Scroll,19s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:35:11,Specifications,Tap,3s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:35:14,Reviews,Tap,13s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:35:27,Size/Color Options,Scroll,20s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:35:47,Shipping Info,Scroll,4s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:35:51,Add to Cart Button,View,9s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:36:00,Stock Indicator,View,14s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,1,2024-07-19 22:36:14,Product Rating,View,14s,154s,17s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Discount Badge, Price, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Add to Cart Button, Stock Indicator, Product Rating"
1,2,2024-07-23 07:52:06,Image Gallery,Tap,12s,237s,201s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Product Rating, Stock Indicator, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Discount Badge, Price, Add to Cart Button"
1,2,2024-07-23 07:52:18,Title,View,20s,237s,201s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Product Rating, Stock Indicator, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Discount Badge, Price, Add to Cart Button"
1,2,2024-07-23 07:52:38,Description,View,12s,237s,201s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Product Rating, Stock Indicator, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Discount Badge, Price, Add to Cart Button"
1,2,2024-07-23 07:52:50,Product Rating,Scroll,2s,237s,201s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Product Rating, Stock Indicator, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Discount Badge, Price, Add to Cart Button"
1,2,2024-07-23 07:52:52,Stock Indicator,Scroll,5s,237s,201s,"Image Gallery, Title, Description, Price, Size/Color Options, Add to Cart Button, Product Rating, Stock Indicator, Specifications, Shipping Info, Discount Badge, Reviews, Recommended Products","Image Gallery, Title, Description, Product Rating, Stock Indicator, Recommended Products, Specifications, Reviews, Size/Color Options, Shipping Info, Discount Badge, Price, Add to Cart Button"
